,text,class
2683,"It is quite near to nagerbazar more and 1 minute walking distance from satgachi more .. it is quite popular around the area .. and one of my favourite resturent ..
ambience was cozy , little and beautifully decorated with low light .. perfect for couple date or birthday celebration .. they recently added some items like chopsuey , sizzler .. which is not mention in zomato menu ..
service was quite fast .. we ordered american chopsuey .. truly quality and quantity was amazing .. it came with fried noodles and chicken , prawn ,egg , baby corn and lots of vegetables .. and taste was superb .. we loved it .. back again to try another dish ..
Staffs are well behaved ..",positive
8212,"I highly recommend trying their Hakka Noodles and Manchurian. It is really yummy.
Budget friendly restaurant
Staff is okay
No ambience as such",negative
8132,"They serve real tasty, less oily indo-chinese food. Delivery is quick and the staff are very humble and polite. Its always a great experience. They are my favourite.",positive
1212,"One of my favorite place in Kolkata for great food at a reasonable price. Located in the famous food street ‘Dacres Lane’, Chittoda’s Suruchee is a small restaurant and serves many of the original dishes from the famous Chitto Babur Dokan and some additional items as well. My favourites from their menu are:

Chicken Bharta – a signature dish from the menu, must try. Goes well with rumali roti 👌👌👌👌👌
Chicken Stew – a non-spicy yet tasteful bowl of health. Papaya and the carrot pieces are perfectly cooked. The chicken piece is really soft and tender. Goes well with bread toast 👌👌👌👌👌
Chilli Fish 👌👌👌👌
Fish Diamond Fry – Even though the price is almost 1.5 times of the regular fish fry but I strongly recommend their fish diamond fry. One of the best in town.👌👌👌👌👌",positive
3102,"Ordered veg fried momo, chicken steamed momo and mixed noodles. Mixed noodles was little bit oily but according to the price the quality and the quantity were satisfactory. Steamed momos were good but fried momos were over fried.",negative
3254,"Situated at the station road quite close to the BT road this restaurant is a nice place to plan a lunch/dinner.

The interior was nice and the sitting arrangement was cozy. The waiters were nice and friendly. They have a spacious sitting area which is good for a large group.

Coming to the food. The food is excellent, no complains here at all. Eveyone must try their garlic naan.

All in all, its a nice restaunt, which has good food and everything that you need. The only drawback being that there's no parking so that can be troublesome for some people.",positive
1810,"Worst ever delivery joint.I ordered two plates of crispy chilly baby corn and two plates one of chicken 65 and chicken honey dew.The quantity is not at all sufficient for a single person.Moreover the babycorn was completely burnt and was not edible anyway.I called up the place,they assured me for a remedy but nobody took a heed after that.Please do not ever order from this place.",negative
1398,"So the last saturday, five of us friends decided to visit RoadHouzz at Sarat Bose Road. We ordered the following:

1. Tandoor Platter Nonveg: A platter of soft succulent chicken pieces that gives you ultimate satisfaction of dipping into the world of meat. Excellent one.

2. Fish finger: Bhekti fish prepared in careful way so that the tenderness and juicy nature stays intact. Served really hot.

3. Madira murgh: A bit of spocy one, this. Kebab preparation woth a hint of alcohol in it?

4. Crispy fish: My favorite from all. So much that I still crave for it right now.

We also took opportunity of the drinks section and enjoyed a lot. We had entered around 6.30 pm and got out around 11.30 pm. Staffs were throughout courteous and helping. Music was awesome and the ambiance was amazing to hang out with old friends.

Overall a very nice experience.

Total cost of bill 7325/=",positive
9205,"Worst mixed hakka chowmein, with very less omelets pieces and only 2-3 tiny chicken pieces...
And also a very bad taste.. Never going to order from there now onwars... @friends",negative
7758,"Cafe Coffee day has lost its charm... nothing exciting on their hackneyed menu. I generally avoid going there. But it was one tiring day and saw this outlet on the way and just dropped in.We had 1 devil's own, 1 cafe frappe, 1 smoothie and 1 tandoori paneer sandwich. Their coffees are very thin, blunt these days...have nothing more to say in review.",negative
7330,"Located - In the first floor of Auris hotel.
Totally loved the ambience and vibes from this bistro. 
The food were impeccable, drinks were pretty amazing.
A must try on place for amazing drinks. 
Kudos, to courteous staff for the amazing experience.
Must try on : 
Khao Suey
Plum passion
Blueberry Cheesecake",positive
3966,"It is well established south indian restaurant.So I ordered masala dosa,vada,idli bhurji and ulli pakodi.Now coming to food the dosa,vada and bhurji were very delicious but I was little disappointed with ulli pakodi.The packaging and quality of food was also awesome.",positive
4232,After a long time I've had nigiri sushi which I found was very good. Heard lot about this place though and its proven to become one of the best Japanese restaurants of Kolkata.overall good experience with charming lights and ambience.,positive
6064,"Located near city centre 1 salt lake right opposite to Ballygunge Place, this small cafe having both indoor and outdoor sitting arrangement and ample of parking space caught our eyes while going towards the mall. the cafe serves good quality food in well decorated and attractive crockery pieces. we had hakka noodles and pan fried fish. the pan fried fish was delectable and the noodles was also good. We were impressed by the courteous staff. 

PS- It would be better if the indoor lighting is changed as pictures fall flat due to the yellow and orange colour of the walls along with yellowish lighting.",negative
3260,"Overall one of the better restaurants in the area, but highly priced. quality is good.service is okay. Pricing could have been bit sober considering the locality.",negative
6484,"Not fancy,very clean and homely atmosphere something which i liked a lot...
Seasame chicken: 6 big pieces of succulent crispy chicken.
Mixed Fried Rice: Quantity appropriate for two people,tastes good.
Schezwan Chicken: Not very spicy,just to the point i really liked it.
Tutti Frutti: Vanilla ice cream filled with fruits.though the ice cream was molten but i love ice cream in every form.
We kept it very simple and we were pleased with the quality and quantity of the food.
The only thing which needs improvement is service,it needs to be quicker.",positive
2904,"Few months before i went there.had some combo.fried rice with chilly chicken.taste was worst.
I m not going to visit again.the worst place with worst food ever",negative
7620,Yesterday went there. This is one of my childhood best resturants and even today tge food is awsome. There fried rice and chicken bharta is too good. Yesterday we ordered noodles and chilly chicken that also very good.,positive
374,"Beside Xavier's back gate, this place is located on the first floor above kurry patta.
Good ambiance
Food was good.
Quantity was also good.
Staff is courtesy.
Service was late.
Over all rating 4 stars.",positive
4569,"Location: This place is situated right in the market of BT road, Sodepur, opposite to MAX. One can  easily locate this place.

Ambience: Quite simple ambience with a couple of 4 seater tables. Staffs behaviour was not upto the mark.

Food Review: I ordered the following items and food was quite good. Totally value for money. If you are looking for a casual hangout with your friends in Sodepur then this place can be your best option. 

1. Chillax Meal: This is basically a combo pack consisting of a veggie burger, chicken cheese roll and a chicken winglet, ideal for a single person
2. French Fries: Honestly potatoes will never let you down and this time also they did a great job. 
3. Chicken Strips: It was really good. Wasn't too much oily and was perfectly fried.

Cost: I ordered 1 chillax meal, 2 french fries, coke 750ml and 2 chicken strips, the bill was 522",negative
3814,"First things first. Food here is like -_-. Alcohol is like in any other bars around. 
Starters are decent but main course is not up to the mark.",negative
974,"The staffs too are extremely courteous and communicative and helpful as well incase you are stuck with your choice.!
The food we had was extremely nice. The quantity and quality is absolutely perfect.

Without say, this is the best place for all the food lovers and an obvious recommendation as well. Try all of their verstile cuisines and let the carnival of taste continue.",positive
4525,"This place is located right opposite the main gate of the Calcutta Medical College. It is the only place in College Street where good Continental Food can be had. The food is delicious, and the prices are very easy on the pocket. No wonder this place is frequented by college and university students throughout the day.",negative
8499,"This place has been one of my best finds for this month! They deliver smoothies, shakes, cold pressed juices which are extremely healthy yet delicious! Ordered their Cold Pressed Baby Pink Juice, Green Smoothie, Unicorn Milkshake, Rose Ice Tea & Vanilla Ice Tea. Loved them all. But my top picks would be Unicorn Shake & the Green Smoothie which consisted of Baby Spinach, Kiwi, Pineapple & Green Apple. Extremely healthy punch & tasted so refreshing. The Baby Pink juice had fresh mosambi, pineapple & pomegranate all in one. These all are priced between 100-150, so they are pretty affordable.
Strongly recommend this place.",positive
7793,It is out of the way but I'm sure if you're foodie...you would definitely want to hit runway dhaba. Owner is very polite and well mannered and food service is really fast. Total value for money. I don't think you can ask for more.,positive
3699,"The masala dosa was crisp and the masala tasty. Idly was fresh and soft. The uttappam was ok. We had to make do with nariyal chutney only as the sambhar was tasteless, we pointed out the same to the management.",negative
3343,"Legacy of China*

Ordered for Chicken Cheese roll from this place!
ONE OF THE BEST ROLL I EVER HAD!
The amount of chicken pieces, the lemony tangy taste, the amount of cheese and more over I am falling for the taste at a very affordable price of Rs 60/-.
I just started having a bite thinking it could all be the same just like any other roll, as soon as grabbed my first bite, I went craving for more of it after it got finished.
Loved it totally!
Very much RECOMMENDED!
Price: Rs60/-.
Service is good and as well the packaging was good too!",positive
892,"This is quite a famous place for both families and bachelors. I have been here quite a few times now and they have never disappointed me. Yesterday we ordered lassi and samosa, trust me they are the best I have ever had till now. There Gulabjamus are also quite famous. This is a must try place for all",positive
8618,Another veg streer food stall in Ram Mandir area. The stall serves you various types of chowmin and rolls in veg condition. The items are not so good but the price is really pocket friendly... Paneer chow and soya roll is the must try item here...,negative
9752,"They use food coloring, I don't why they are using food colour make it natural way we deffinately accept it and there no certain flaouver I got only savoury flavor I got
Chicken smell stinky it's not fresh
Other wise all good
Plz keep in mind keep it up team foodooo",negative
3367,Very pocket friendly restaurant with average quality food. Also serves home delivery within 2 kms. Road side average restaurant serves value for money food.,negative
1251,"First thing came to my mind after tasting the food was ""Authentic Taste"". Loved the thai massaman curry and papaya salad. quality and quantity of food has been very satisfactory.",positive
7015,The Pizza(s) we got home delivered were ordinary. Both the paneer and pepperoni varieties had toppings on the lesser side and the base tasted below average. The food did not met up our expectation.,negative
357,Simply awesome 😍 Domino's pizza is one of my favourite in my food chat..today I go with pepper BBQ chicken pizza..it was really good.. love it,positive
8437,"This outlet is located at the Food Court of Daimond Plaza Mall. The combos they provide are really fulfilling and good on pocket too. I tried a combo which had fried rice, Vegetables, Potato crisps, Malai Chicken, Salad. Food tasted good as well. Will visit again!",positive
2412,"Gupta Bros has always been a delightful snacking corner. I like their food and their service. The place is always crowded with people, as they maintain the quality of their food. You can easily find yourself, visiting this place if you wanna try some tasty Indian food.",positive
8215,New Biriyani-house at Andul.... Nothing fancy.... Just an ordinary street-side restaurant you can find everywhere now a days.... Taste of Biriyani is so so....,negative
1358,"The decor is immaculately done. Head to Paris cafe for a lovely time. Try their red velvet cake and my personal favourite  pancakes and French fries
                                                shoestringtravel.in",positive
10211,This is one of the first bar cum restaurant in the locality...food served is good.. cheap alcohol is available....if you want to go to a bar but don't want to spend much still have a good time this is the place for you..they have family section differently which makes it easier for people who are not drinking or visiting the place with children..cheers..:),positive
1960,"Located at Golpark, Grub club is the place one heads to when they want to a get quick snack or are looking for good food at reasonable prices. We opted for chicken lasagne and mixed manchurian noodles. The lasagne leaves a lot to be desired in terms of taste although it was a decent dish. The noodles tasted quite amazing and was sufficient for two gluttons out on a winter afternoon. Will return for their pork and fish dishes.",negative
7518,"Tried panner butter masala and lachha paratha from this place. The food was as expected too much drenched in oil.
The paratha was too greesy, had to use soap to remove the oil. Even the sabji was too much oily, though tasted great.",negative
9913,"Hit Wicket...
Hit Hai Boss...
Located just near to Central park, salt lake sector 3...
This place is just cool for partying out with friends and family too... The lounge section is superb with a giant screen, dimly lit, neon lights, loud music...This portion is specially for Hookah lovers...

Food is good...
We ordered Stuffed mushroom which was okay types... But BBQ chicken pizza was awesome with lots of cheese, veggies and chicken toppings!
Staffs are very friendly but service is a bit slow!

Pocket pinch is a bit high!",positive
584,"One of the best place where you can get the best healthy breakfast........ ambience is lovable.......must visited place with friends❤️.........
These are the best dishes I have tried there.....so must recommended dishes.......❤️",positive
10869,"Litti Chokha...has become the flavour of the season, that's why it is now available in many upscale restaurants. But this place, Sankhar Litti Chokha, is no such fancy place. It's a ramshackle street side joint with rickety and broken benches placed outside for seating while the little are roasted and grilled over a flame. The bite sized litti which are small wheat dumplings stuffed with sattu and then roasted/ grilled over the flame, the charred litti with the smokiness from the fire are served together with the potato chokha , which is basically mashed potatoes with chillies and mustard oil. Also served together with these is a green chutney/ dip....all three eaten combined...tastes heavenly.After having the litti have the amazingly prepared kesaria milk tea, just adjacent. The person who prepares it does it with a cool attitude/ desi swag!!
This is street food at its best.",positive
9197,"It's a very perfect restaurant if anyone wants a quality time to be spent. 
Specially if want to spend with loved ones, it's a fav place. The workers are also very much well-behaved,",negative
201,"when u enter the restaurant all you smell is the aroma of kababs, biriyani and meat ❤️❤️❤️ the prices are really pocket friendly... good for a budget date 🤣 biriyani isn't that spicy as u expect from a typical kolkata biriyani bt it's good... the polau combo is really great but some of their kababs had a jeera flavour which is not very soothing... but do give it a visit... there are many combos to choose from ❤️ also the staff was quiet friendly... a small tip, u have to collect a token kind a thing first from the reception on ground floor which will have your table number on it or if there is a que then the token will have your turn number on it...
comment below your questions and suggestions it may help others ❤
follow me on Instagram for amazing photos and updates @gogol_the_spinner
PEACE ☮️",negative
7850,"Dosas ordered were ghee masala dosa alongwith Mysore masala dosa. The dosas were absolutely delicious, crsip and had a golden colour. The chutneys they served were fresh and didn't have any stale smell. The Mysore dosa was served with the gunpowder blast masala which made it special. Since it was tuesday we got both the dosas at half the price. So it was worth ever penny.",positive
